�;;;;;;;;;;;;;;;;;
120 000 $,3 комнаты,1091 $ за м²,3 из 16,год постройки2002,утепленная панель,110 / 54 / 13 м²,ул. Драгоманова,12;;;;;;;;;;;;;;;;;
55 000 $,2 комнаты,1078 $ за м²,10 из 10,год постройки1990,утепленная панель,51 / 31 / 8 м²,ул. Нежинская,7;;;;;;;;;;;;;;;;;
48 000 $,2 комнаты,1091 $ за м²,7 из 9,год постройки1971,кирпичные,44 / 30 / 7 м²,ул. Кучера,8;;;;;;;;;;;;;;;;;
235 000 $,2 комнаты,2582 $ за м²,6 из 24,год постройки2010,монолитно-каркасные,91 / 44 / 21 м²,просп. Голосеевский (40-летия Октября),62;;;;;;;;;;;;;;;;;
41 000 $,1 комната,1464 $ за м²,9 из 9,год постройки1969,*** not found ,28 / 17 / 5 м²,ул. Ильенко (Мельникова),83;;;;;;;;;;;;;;;;;
143 000 $,1 комната,2554 $ за м²,10 из 11,*** not found ,<span>7 декабря 2020 г.</span>,56 м²,ул. Бойчука (Киквидзе),;;;;;;;;;;;;;;;;;1
65 000 $,3 комнаты,966 $ за м²,9 из 9,год постройки1983,кирпичные,67.3 / 39.7 / 7 м²,ул. Половецкая,16;;;;;;;;;;;;;;;;;
500 000 $,3 комнаты,5000 $ за м²,2 из 5,год постройки1892,кирпичные,100 / 45 / 30 м²,ул. Владимирская,45;;;;;;;;;;;;;;;;;
94 000 $,3 комнаты,1146 $ за м²,3 из 5,*** not found ,кирпичные,82 / 50 / 11 м²,ул. Гончара,77;;;;;;;;;;;;;;;;;
280 000 $,3 комнаты,2295 $ за м²,3 из 24,год постройки2006,монолитно-каркасные,122 м²,ул. Антоновича (Горького),72;;;;;;;;;;;;;;;;;
67 500 $,1 комната,1500 $ за м²,5 из 9,год постройки2017,монолитно-каркасные,45 / 19 / 15 м²,ул. Метрологическая, 7б;;;;;;;;;;;;;;;;;
72 000 $,2 комнаты,960 $ за м²,*** not found ,*** not found ,монолитно-каркасные,75 м²,ул. Калнышевского (Михаила Майорова),7;;;;;;;;;;;;;;;;;
54 000 $,1 комната,1588 $ за м²,29 из 33,*** not found ,<span>26 января</span>,34 / - / 18 м²,ул. Заречная,;;;;;;;;;;;;;;;;;
74 000 $,2 комнаты,1609 $ за м²,2 из 8,*** not found ,*** not found ,46 / 30 / 6 м²,просп. Тычины,;;;;;;;;;;;;;;;;;
130 000 $,2 комнаты,1300 $ за м²,16 из 24,год постройки2008,монолитно-каркасные,100 / 46.7 / 17 м²,ул. Саперно-Слободская,22;;;;;;;;;;;;;;;;;
110 000 $,3 комнаты,1111 $ за м²,4 из 25,год постройки2010,монолитно-каркасные,99 / 60 / 15 м²,просп. Комарова,26;;;;;;;;;;;;;;;;;
180 000 $,3 комнаты,2400 $ за м²,3 из 8,год постройки1990,кирпичные,75 / 41 / 9 м²,ул. Б. Житомирская,27;;;;;;;;;;;;;;;;;
